,Name,Rating,Reviews,Head_Quarters,No_of_Jobs
75,Ekart Logistics,3.9,7.4k,Logistics | Bengaluru +739 other locations,16.6k
76,Lupin,4.1,7.3k,Pharma | Pune +203 other locations,22.5k
77,KPMG India,3.4,7.3k,Management Consulting | Bengaluru +112 other locations,67.7k
78,L&T Construction,4.0,7.3k,Engineering & Construction | Chennai +435 other locations,19.2k
79,Hindustan Unilever,4.2,7.2k,FMCG | Mumbai +543 other locations,20.2k
80,Axis Max Life Insurance,4.0,7.1k,Insurance | New Delhi +505 other locations,20.2k
81,ITC,3.9,7.1k,FMCG | Bengaluru +378 other locations,24.9k
82,Megha Engineering & Infrastructures,3.9,6.9k,Engineering & Construction | Hyderabad +407 other locations,18.6k
83,Coforge,3.3,6.8k,IT Services & Consulting | Noida +103 other locations,50.8k
84,Tata Projects,4.2,6.8k,Engineering & Construction | Mumbai +284 other locations,22.6k
85,Bajaj Life Insurance,3.8,6.6k,Insurance | Pune +616 other locations,17.8k
86,Cholamandalam Investment & Finance,3.8,6.6k,Financial Services | Chennai +861 other locations,12.8k
87,L&T Technology Services,3.1,6.6k,IT Services & Consulting | Bengaluru +94 other locations,44.3k
88,FIS,3.8,6.6k,FinTech | Pune +59 other locations,39.1k
89,Oracle,3.4,6.5k,Software Product | Bengaluru +56 other locations,64k
90,Omega Healthcare,3.8,6.4k,BPO | Chennai +69 other locations,27.5k
91,JLL,4.1,6.4k,Real Estate | Gurugram +86 other locations,24.9k
92,Muthoot Finance,3.7,6.3k,NBFC | Bengaluru +791 other locations,13.1k
93,IIFL Finance,4.0,6.3k,NBFC | Mumbai +807 other locations,14.1k
94,eClerx,3.1,6.3k,IT Services & Consulting | Pune +32 other locations,32.9k
95,Indian Army,4.7,6.2k,Defence & Aerospace | New Delhi +360 other locations,9.4k
96,Virtusa Consulting Services,3.7,6.1k,IT Services & Consulting | Hyderabad +55 other locations,57.3k
97,DMart,3.9,6.1k,Retail | Mumbai +254 other locations,18.9k
98,HCL Group,3.5,6.1k,IT Services & Consulting | Chennai +96 other locations,39.2k
99,PolicyBazaar,3.8,6k,Internet | Gurugram +154 other locations,17.9k
